regionname,chaptername,year,month,event_name,seriesOrEvent,eventID,events,teens_total,new_teens,avg_attendance
Atlanta,Atlanta,2024,11,North Atlanta High School,Series,16942,1,16,16,16
Atlanta,Atlanta,2024,11,Druid Hills High School,Series,16940,1,34,34,34
Atlanta,Atlanta,2024,11,Lassiter High School,Series,16934,1,19,19,19
Atlanta,Atlanta,2024,11,Riverwood International Charter School,Series,7082,1,68,36,68
Atlanta,Atlanta,2024,11,Chattahoochee High School,Series,16935,1,82,81,82
Atlanta,Atlanta,2024,11,Torah Connection,Event,514739,1,20,4,20
Atlanta,Atlanta,2024,11,Atlanta International School,Series,19312,1,31,31,31
Atlanta,Atlanta,2024,11,Shabbat Dinner,Series,17373,1,6,0,6
Atlanta,Atlanta,2024,12,Johns Creek High School,Series,16943,1,62,60,62
Atlanta,Atlanta,2024,12,Midtown High School,Series,16936,1,39,39,39
Atlanta,Atlanta,2024,12,Roswell High School,Series,16938,1,10,10,10
Atlanta,Atlanta,2024,12,Chattahoochee High School,Series,16935,1,87,86,87
Atlanta,Atlanta,2024,12,Atlanta International School,Series,19312,1,31,30,31
Atlanta,Atlanta,2024,12,LNL,Series,19348,3,15,6,5
Atlanta,Atlanta,2024,12,Chamblee Charter High School,Series,16931,1,69,68,69
Atlanta,Atlanta,2024,12,Lakeside High School,Series,16939,1,55,52,55
Atlanta,Atlanta,2024,12,Dunwoody High School,Series,16933,1,105,103,105
Atlanta,Atlanta,2024,12,Alpharetta High School,Series,16930,1,59,58,59
Atlanta,Atlanta,2024,12,Druid Hills High School,Series,16940,1,35,34,35
Atlanta,Atlanta,2024,12,The Galloway School,Series,19517,1,18,17,18
Atlanta,Atlanta,2024,12,Innovation Academy,Series,16932,1,28,27,28
Atlanta,Atlanta,2024,12,North Atlanta High School,Series,16942,1,35,35,35
Atlanta,Atlanta,2024,12,Milton High School,Series,16937,1,23,20,23
Atlanta,Atlanta,2024,12,Lassiter High School,Series,16934,1,32,31,32
Atlanta,Atlanta,2024,12,Centennial High School,Series,16929,1,31,31,31
Atlanta,Atlanta,2024,12,Riverwood International Charter School,Series,7082,1,64,59,64
Atlanta,Atlanta,2025,1,LNL,Series,19729,2,8,8,4
Atlanta,Atlanta,2025,1,DNL,Event,519356,1,5,5,5
Atlanta,Atlanta,2025,2,Innovation Academy,Series,16932,1,30,30,30
Atlanta,Atlanta,2025,2,Chattahoochee High School,Series,16935,1,82,82,82
Atlanta,Atlanta,2025,2,Alpharetta High School,Series,16930,1,58,57,58
Atlanta,Atlanta,2025,2,Johns Creek High School,Series,16943,1,61,59,61
Atlanta,Atlanta,2025,2,The Galloway School,Series,19517,1,21,21,21
Atlanta,Atlanta,2025,2,Torah Shuir,Event,523732,1,73,72,73
Atlanta,Atlanta,2025,2,Chamblee Charter High School,Series,16931,1,49,48,49
Atlanta,Atlanta,2025,2,Lakeside High School,Series,16939,1,46,45,46
Atlanta,Atlanta,2025,2,LNL,Series,19729,6,117,116,20
Atlanta,Atlanta,2025,3,LNL,Series,19903,1,43,32,43
Atlanta,Atlanta,2025,3,Israel Advocacy,Event,524480,1,21,21,21
Atlanta,Atlanta,2025,3,Leadership and Learning,Event,525129,1,44,22,44
Atlanta,Atlanta,2025,3,Holocaust Education and Speaker,Event,525125,1,94,85,94
Atlanta,Atlanta,2025,3,Leadership and Learning,Event,525128,1,40,25,40
Atlanta,Atlanta,2025,3,North Atlanta High School,Series,16942,2,23,23,20
Atlanta,Atlanta,2025,3,Chattahoochee High School,Series,16935,1,79,70,79
Atlanta,Atlanta,2025,3,Shabbat with Chaim Neiditch,Event,525099,1,6,1,6
Atlanta,Atlanta,2025,3,JSP,Event,525136,1,41,38,41
Atlanta,Atlanta,2025,3,LNL,Series,19902,1,39,39,39
Atlanta,Atlanta,2025,3,JSU Leadership Shabbos,Event,525098,1,45,8,45
Atlanta,Atlanta,2025,4,Milton High School,Series,16937,1,21,18,21
Atlanta,Atlanta,2025,4,Johns Creek High School,Series,16943,1,67,65,67
Atlanta,Atlanta,2025,4,Night Seder,Event,526547,1,18,18,18
Atlanta,Atlanta,2025,4,LNL,Series,19901,1,42,42,42
Atlanta,Atlanta,2025,4,North Gwinnett High School,Series,16941,1,12,12,12
Atlanta,Atlanta,2025,4,Alpharetta High School,Series,16930,1,59,58,59
Atlantic Seaboard,Regionwide,2024,9,New York Experience: Upperclassmen Edition 2024,Event,494507,1,56,10,56
Atlantic Seaboard,Regionwide,2024,11,JSU Presidents Conference 2024,Event,492042,1,2,2,2
Atlantic Seaboard,Regionwide,2024,12,New York Experience: Underclassmen Edition 2024,Event,509909,1,74,40,74
Atlantic Seaboard,Regionwide,2024,12,TJJ Recruitment Dinner,Event,516341,1,4,2,4
Atlantic Seaboard,Regionwide,2025,3,OL Five Towns Shabbaton,Event,525161,1,3,1,3
Atlantic Seaboard,Regionwide,2025,3,Meetup and Learn,Event,525007,1,1,0,1
Atlantic Seaboard,Regionwide,2025,4,Senator Ben Cardin Lobbying Mission,Event,523794,1,129,74,129
Atlantic Seaboard,Baltimore,2024,8,Pikesville JSU Board Meeting,Event,496886,1,5,3,5
Atlantic Seaboard,Baltimore,2024,8,NCSY Opening BBQ,Event,497796,1,33,23,33
Atlantic Seaboard,Baltimore,2024,8,Shabbat with Mordi Spero,Event,492243,1,19,19,19
Atlantic Seaboard,Baltimore,2024,8,Franklin JSU Board Meeting,Event,497246,1,2,0,2
Atlantic Seaboard,Baltimore,2024,8,Towson JSU Board Meeting,Event,497302,1,2,2,2
Atlantic Seaboard,Baltimore,2024,8,Baltimore NCSY Latte and Learning,Series,13585,1,26,12,26
Atlantic Seaboard,Baltimore,2024,8,Park JSU Board Meeting,Event,494459,1,2,2,2
Atlantic Seaboard,Baltimore,2024,8,MEOR JSU Intro,Event,495296,1,7,3,7
Atlantic Seaboard,Baltimore,2024,8,"Baltimore JSU Latte and Learning ",Series,13726,1,36,22,36
Atlantic Seaboard,Baltimore,2024,8,"Pre School Learning Franklin Crew ",Series,18640,1,5,0,5
Atlantic Seaboard,Baltimore,2024,8,Mcdonogh JSU Board Meeting,Event,495295,1,5,5,5
Atlantic Seaboard,Baltimore,2024,8,Franklin Learning Crew,Event,494535,1,6,5,6
Atlantic Seaboard,Baltimore,2024,8,Baltimore NCSY Chapter Board Meeting,Event,497965,1,8,7,8
Atlantic Seaboard,Baltimore,2024,8,Friends JSU Board Meeting,Event,495427,1,2,2,2
Atlantic Seaboard,Baltimore,2024,9,RPCS Interest Discussion,Event,499926,1,1,1,1
Atlantic Seaboard,Baltimore,2024,9,Mcdonogh School,Series,18622,2,41,35,35
Atlantic Seaboard,Baltimore,2024,9,Franklin High School,Series,18894,1,18,11,18
Atlantic Seaboard,Baltimore,2024,9,Garrison Forest School,Series,18975,1,9,8,9
Atlantic Seaboard,Baltimore,2024,9,Baltimore NCSY Latte and Learning,Series,13585,3,52,23,31
Atlantic Seaboard,Baltimore,2024,9,Park School of Baltimore,Series,18618,3,64,52,44
Atlantic Seaboard,Baltimore,2024,9,Poly Board Meeting,Event,500785,1,2,2,2
Atlantic Seaboard,Baltimore,2024,9,"Baltimore JSU Latte and Learning ",Series,13726,4,84,42,41
Atlantic Seaboard,Baltimore,2024,9,"Pre School Learning Franklin Crew ",Series,18640,4,5,3,4
Atlantic Seaboard,Baltimore,2024,9,One on One Discussion about Life,Event,499925,1,1,1,1
Atlantic Seaboard,Baltimore,2024,9,Fellowship,Series,9085,4,53,43,27
Atlantic Seaboard,Baltimore,2024,9,Baltimore NCSY Oneg,Event,501402,1,56,15,56
Atlantic Seaboard,Baltimore,2024,9,Friends School of Baltimore,Series,18798,1,15,14,15
Atlantic Seaboard,Baltimore,2024,9,Pikesville High School,Series,18621,3,77,64,51
Atlantic Seaboard,Baltimore,2024,9,Shabbat Kiddush with Mordi Spero,Event,501403,1,27,6,27
Atlantic Seaboard,Baltimore,2024,9,Mamba Monday,Series,14925,3,10,2,5
Atlantic Seaboard,Baltimore,2024,9,George W. Carver Center For Arts & Technology,Series,18972,1,10,9,10
Atlantic Seaboard,Baltimore,2024,9,Roland Park Country School,Series,18976,1,11,5,11
Atlantic Seaboard,Baltimore,2024,9,Park JSU Shabbat Dinner,Event,500064,1,7,7,7
Atlantic Seaboard,Baltimore,2024,10,Park School of Baltimore,Series,18618,4,58,57,38
Atlantic Seaboard,Baltimore,2024,10,"Baltimore JSU Latte and Learning ",Series,13726,4,107,45,50
Atlantic Seaboard,Baltimore,2024,10,Fellowship,Series,9085,2,34,20,26
Atlantic Seaboard,Baltimore,2024,10,Baltimore NCSY Latte and Learning,Series,13585,2,46,27,29
Atlantic Seaboard,Baltimore,2024,10,Pikesville High School,Series,18621,5,78,68,34
Atlantic Seaboard,Baltimore,2024,10,Franklin High School,Series,18894,2,18,16,13
Atlantic Seaboard,Baltimore,2024,10,Roland Park Country School,Series,18976,2,16,14,13
Atlantic Seaboard,Baltimore,2024,10,"Pre School Learning Franklin Crew ",Series,18640,2,5,0,4
Atlantic Seaboard,Baltimore,2024,10,NCSY ST Seuda Shlishit,Event,511417,1,12,0,12
Atlantic Seaboard,Baltimore,2024,10,Baltimore Polytechnic Institute,Series,19213,1,8,3,8
Atlantic Seaboard,Baltimore,2024,10,Jemicy School,Series,19171,1,14,8,14
Atlantic Seaboard,Baltimore,2024,10,Gilman School,Series,19165,1,12,11,12
Atlantic Seaboard,Baltimore,2024,10,Friends School of Baltimore,Series,18798,1,9,6,9
Atlantic Seaboard,Baltimore,2024,10,Baltimore Jr. NCSY Ice Skating,Event,509386,1,25,25,25
Atlantic Seaboard,Baltimore,2024,10,Sukkot with Mordi Spero,Event,511319,1,8,4,8
Atlantic Seaboard,Baltimore,2024,10,Mcdonogh School,Series,18622,3,46,38,28
Atlantic Seaboard,Baltimore,2024,10,Mamba Monday,Series,14925,3,6,5,4
Atlantic Seaboard,Baltimore,2024,11,Pikesville High School,Series,18621,2,48,24,30
Atlantic Seaboard,Baltimore,2024,11,Garrison Forest School,Series,18975,1,10,9,10
Atlantic Seaboard,Baltimore,2024,11,Jemicy School,Series,19171,1,14,11,14
Atlantic Seaboard,Baltimore,2024,11,Franklin High School,Series,18894,2,19,16,16
Atlantic Seaboard,Baltimore,2024,11,Roland Park Country School,Series,18976,1,10,6,10
Atlantic Seaboard,Baltimore,2024,11,Mcdonogh School,Series,18622,1,23,11,23
Atlantic Seaboard,Baltimore,2024,11,Fellowship,Series,9085,2,21,12,13
Atlantic Seaboard,Baltimore,2024,11,Jr NCSY @ TOPGOLF!!!,Event,512793,1,17,17,17
Atlantic Seaboard,Baltimore,2024,11,Mamba Monday,Series,14925,4,9,8,6
Atlantic Seaboard,Baltimore,2024,11,Senior Shabbat Dinner at the Groves,Event,514548,1,18,5,18
Atlantic Seaboard,Baltimore,2024,11,Baltimore NCSY Latte and Learning,Series,13585,2,32,27,18
Atlantic Seaboard,Baltimore,2024,11,NCSY Bonfire Night,Event,514744,1,54,21,54
Atlantic Seaboard,Baltimore,2024,11,Gilman School,Series,19165,2,19,16,13
Atlantic Seaboard,Baltimore,2024,11,Shabbat with Mordi Spero,Event,515009,1,4,1,4
Atlantic Seaboard,Baltimore,2024,11,Daily Dynamic Siyum,Event,514249,1,19,5,19
Atlantic Seaboard,Baltimore,2024,11,Learn and Earn,Series,19407,1,21,11,21
Atlantic Seaboard,Baltimore,2024,11,"Baltimore JSU Latte and Learning ",Series,13726,4,107,91,45
Atlantic Seaboard,Baltimore,2024,11,Park School of Baltimore,Series,18618,2,43,39,33
Atlantic Seaboard,Baltimore,2024,11,Pikesville Middle School,Series,19408,2,9,9,8
Atlantic Seaboard,Baltimore,2024,12,Mcdonogh School,Series,18622,2,38,29,24
Atlantic Seaboard,Baltimore,2024,12,Juniors @ Skyzone!!!,Event,515557,1,21,21,21
Atlantic Seaboard,Baltimore,2024,12,Hereford High School,Series,20373,1,43,32,43
Atlantic Seaboard,Baltimore,2024,12,Wednesday Morning Crew on Break,Event,517033,1,5,0,5
Atlantic Seaboard,Baltimore,2024,12,Garrison Forest School,Series,18975,1,13,12,13
Atlantic Seaboard,Baltimore,2024,12,Franklin High School,Series,18894,1,14,4,14
Atlantic Seaboard,Baltimore,2024,12,"Baltimore JSU Latte and Learning ",Series,13726,3,77,71,39
Atlantic Seaboard,Baltimore,2024,12,Roland Park Country School,Series,18976,1,8,6,8
Atlantic Seaboard,Baltimore,2024,12,Alumni Shabbat Dinner with Mordi Spero,Event,515419,1,3,3,3
Atlantic Seaboard,Baltimore,2024,12,Pikesville High School,Series,18621,3,70,40,43
Atlantic Seaboard,Baltimore,2024,12,"Pre School Learning Franklin Crew ",Series,18640,3,5,1,4
Atlantic Seaboard,Baltimore,2024,12,Park School of Baltimore,Series,18618,1,29,28,29
Atlantic Seaboard,Baltimore,2024,12,Junior Girls Shabbat with Chana Grove,Event,516163,1,12,9,12
Atlantic Seaboard,Baltimore,2024,12,Jemicy School,Series,19171,1,13,8,13
Atlantic Seaboard,Baltimore,2024,12,Shabbat Chanuka with Mordi Spero,Event,517030,1,4,1,4
Atlantic Seaboard,Baltimore,2024,12,Baltimore NCSY Latte and Learning,Series,13585,1,11,4,11
Atlantic Seaboard,Baltimore,2024,12,Mamba Monday,Series,14925,3,14,12,7
Atlantic Seaboard,Baltimore,2024,12,JSU Latte on Break,Event,517032,1,11,0,11
Atlantic Seaboard,Baltimore,2024,12,Baltimore Polytechnic Institute,Series,19213,1,5,2,5
Atlantic Seaboard,Baltimore,2024,12,Fellowship,Series,9085,2,29,15,19
Atlantic Seaboard,Baltimore,2025,1,"Ben Cardin Jewish Scholars Program Day School Edition ",Series,19622,3,40,16,31
Atlantic Seaboard,Baltimore,2025,1,Pikesville High School,Series,18621,3,58,31,27
Atlantic Seaboard,Baltimore,2025,1,NCSY/JSU Chanukah Party,Event,517081,1,60,59,60
Atlantic Seaboard,Baltimore,2025,1,Mamba Monday,Series,14925,1,2,0,2
Atlantic Seaboard,Baltimore,2025,1,Mcdonogh School,Series,18622,2,30,23,25
Atlantic Seaboard,Baltimore,2025,1,Shabbat with Mordi Spero,Event,517598,1,10,4,10
Atlantic Seaboard,Baltimore,2025,1,Garrison Forest School,Series,18975,1,11,11,11
Atlantic Seaboard,Baltimore,2025,1,Baltimore NCSY Latte and Learning,Series,13585,3,36,19,22
Atlantic Seaboard,Baltimore,2025,1,Park School of Baltimore,Series,18618,2,53,50,35
Atlantic Seaboard,Baltimore,2025,1,Roland Park Country School,Series,18976,2,10,7,9
Atlantic Seaboard,Baltimore,2025,1,Shabbat with Mordi Spero,Event,517109,1,9,9,9
Atlantic Seaboard,Baltimore,2025,1,Franklin High School,Series,18894,1,17,13,17
Atlantic Seaboard,Baltimore,2025,1,Shabbat Kiddush with Mordi Spero,Event,518229,1,17,0,17
Atlantic Seaboard,Baltimore,2025,1,NCSY Upperclassmen Oneg,Event,518223,1,22,5,22
Atlantic Seaboard,Baltimore,2025,1,Jemicy School,Series,19171,1,16,12,16
Atlantic Seaboard,Baltimore,2025,1,Reservoir High School,Series,20379,1,1,1,1
Atlantic Seaboard,Baltimore,2025,1,Ben Cardin Jewish Scholars Program,Series,17494,3,87,32,72
Atlantic Seaboard,Baltimore,2025,1,Baltimore JSU Latte and Learning,Series,13726,3,60,16,29
Atlantic Seaboard,Baltimore,2025,1,"Pre School Learning Franklin Crew ",Series,18640,4,5,4,4
Atlantic Seaboard,Baltimore,2025,2,Baltimore NCSY Latte and Learning,Series,13585,4,57,31,26
Atlantic Seaboard,Baltimore,2025,2,Pikesville High School,Series,18621,2,35,27,22
Atlantic Seaboard,Baltimore,2025,2,JSU Shabbat with Mordi Spero,Event,523747,1,11,0,11
Atlantic Seaboard,Baltimore,2025,2,"Pre School Learning Franklin Crew ",Series,18640,4,4,0,4
Atlantic Seaboard,Baltimore,2025,2,Franklin High School,Series,18894,2,19,11,16
Atlantic Seaboard,Baltimore,2025,2,"Ben Cardin Jewish Scholars Program Day School Edition ",Series,19622,3,40,33,36
Atlantic Seaboard,Baltimore,2025,2,"Baltimore JSU Latte and Learning ",Series,13726,2,40,10,23
Atlantic Seaboard,Baltimore,2025,2,Park School of Baltimore,Series,18618,2,43,32,30
Atlantic Seaboard,Baltimore,2025,2,Mcdonogh School,Series,18622,2,37,24,28
Atlantic Seaboard,Baltimore,2025,2,Gilman School,Series,19165,1,7,7,7
Atlantic Seaboard,Baltimore,2025,2,Garrison Forest School,Series,18975,1,14,11,14
Atlantic Seaboard,Baltimore,2025,2,Mamba Monday,Series,14925,3,5,4,3
Atlantic Seaboard,Baltimore,2025,2,Ben Cardin Jewish Scholars Program,Series,17494,3,86,77,75
Atlantic Seaboard,Baltimore,2025,3,Fellowship,Series,9085,1,26,6,26
Atlantic Seaboard,Baltimore,2025,3,Park School of Baltimore,Series,18618,2,45,45,33
Atlantic Seaboard,Baltimore,2025,3,Friends School of Baltimore,Series,18798,1,7,7,7
Atlantic Seaboard,Baltimore,2025,3,"Pre School Learning Franklin Crew ",Series,18640,3,4,0,3
Atlantic Seaboard,Baltimore,2025,3,Roland Park Country School,Series,18976,1,9,5,9
Atlantic Seaboard,Baltimore,2025,3,Pikesville High School,Series,18621,3,36,13,18
Atlantic Seaboard,Baltimore,2025,3,"Baltimore JSU Latte and Learning ",Series,13726,5,71,41,25
Atlantic Seaboard,Baltimore,2025,3,Ben Cardin Jewish Scholars Program,Series,17494,3,85,55,63
Atlantic Seaboard,Baltimore,2025,3,Baltimore NCSY Latte and Learning,Series,13585,3,52,43,28
Atlantic Seaboard,Baltimore,2025,3,Garrison Forest School,Series,18975,2,17,14,13
Atlantic Seaboard,Baltimore,2025,3,Mcdonogh School,Series,18622,2,44,30,33
Atlantic Seaboard,Baltimore,2025,3,Mamba Monday,Series,14925,2,3,0,2
Atlantic Seaboard,Baltimore,2025,3,Ben Cardin Jewish Scholars Program Day School Edition,Series,19622,2,37,23,32
Atlantic Seaboard,Baltimore,2025,3,JSU Purim Party,Event,524496,1,12,4,12
Atlantic Seaboard,Baltimore,2025,3,TJJ Recruitment Lunch,Event,524059,1,2,2,2
Atlantic Seaboard,Baltimore,2025,3,Hereford High School,Series,20373,1,14,12,14
Atlantic Seaboard,Baltimore,2025,4,Park School of Baltimore,Series,18618,1,18,12,18
Atlantic Seaboard,Baltimore,2025,4,Shabbat Dinner with Mordi Spero,Event,525764,1,6,3,6
Atlantic Seaboard,Baltimore,2025,4,Baltimore NCSY Latte and Learning,Series,13585,1,29,19,29
Atlantic Seaboard,Baltimore,2025,4,Franklin High School,Series,18894,1,12,8,12
Atlantic Seaboard,Baltimore,2025,4,Mcdonogh School,Series,18622,2,28,21,20
Atlantic Seaboard,Baltimore,2025,4,Ben Cardin Jewish Scholars Program Graduation,Event,526078,1,32,8,32
Atlantic Seaboard,Baltimore,2025,4,Fellowship,Series,9085,2,34,20,20
Atlantic Seaboard,Baltimore,2025,4,"Baltimore JSU Latte and Learning ",Series,13726,3,46,30,23
Atlantic Seaboard,Baltimore,2025,4,Garrison Forest School,Series,18975,1,13,12,13
Atlantic Seaboard,Baltimore,2025,4,"Pre School Learning Franklin Crew ",Series,18640,3,4,3,3
Atlantic Seaboard,Baltimore,2025,4,Roland Park Country School,Series,18976,2,9,5,8
Atlantic Seaboard,Baltimore,2025,4,Pikesville High School,Series,18621,1,23,11,23
Atlantic Seaboard,Baltimore,2025,5,Mcdonogh School,Series,18622,2,24,23,19
Atlantic Seaboard,Baltimore,2025,5,Baltimore NCSY Latte and Learning,Series,13585,2,21,7,12
Atlantic Seaboard,Baltimore,2025,5,"Baltimore JSU Latte and Learning ",Series,13726,2,21,18,10
Atlantic Seaboard,Baltimore,2025,5,Holy Jews Shabbat Dinner with Mordi Spero,Event,527398,1,5,1,5
Atlantic Seaboard,Baltimore,2025,5,"Pre School Learning Franklin Crew ",Series,18640,3,4,0,3
Atlantic Seaboard,Baltimore,2025,5,Park School of Baltimore,Series,18618,1,17,17,17
Atlantic Seaboard,Baltimore,2025,5,Learning with Ryan/Shabsis Trip,Event,527098,1,1,0,1
Atlantic Seaboard,Baltimore,2025,5,TJJ Alumni Shabbat with Mordi Spero,Event,527707,1,4,4,4
Atlantic Seaboard,Baltimore,2025,5,Shabbat Dinner with Mordi Spero,Event,526223,1,3,3,3
Atlantic Seaboard,Baltimore,2025,5,Franklin High School,Series,18894,1,7,7,7
Atlantic Seaboard,Baltimore,2025,5,Mamba Monday,Series,14925,1,9,3,9
Atlantic Seaboard,Baltimore,2025,5,Pikesville High School,Series,18621,1,14,10,14
Atlantic Seaboard,Baltimore,2025,5,Fellowship,Series,9085,4,52,48,25
Atlantic Seaboard,Baltimore,2025,6,Gilman Board Meeting,Event,528567,1,3,3,3
Atlantic Seaboard,Baltimore,2025,6,All Night Shavuot Learning in Baltimore,Event,527732,1,52,51,52
Atlantic Seaboard,Baltimore,2025,6,Shabbat with Mordi Spero,Event,528568,1,12,10,12
Atlantic Seaboard,Baltimore,2025,6,"Pre School Learning Franklin Crew ",Series,18640,2,4,2,2
Atlantic Seaboard,Baltimore,2025,6,Shabbat with Mordi Spero,Event,528417,1,4,0,4
Atlantic Seaboard,Baltimore,2025,6,HOCO interest discussion,Event,527857,1,2,2,2
Atlantic Seaboard,Baltimore,2025,6,Baltimore JSU Latte and Learning,Series,13726,1,17,17,17
Atlantic Seaboard,Baltimore,2025,6,Baltimore NCSY Latte and Learning,Series,13585,1,17,7,17
Atlantic Seaboard,Baltimore,2025,6,Meeting for next year,Event,527856,1,1,1,1
Atlantic Seaboard,Baltimore,2025,6,Shabbat with Mordi Spero,Event,529680,1,8,6,8
Atlantic Seaboard,Baltimore,2025,7,Alumni Shabbat with Mordi Spero,Event,530458,1,8,8,8
Atlantic Seaboard,Baltimore,2025,7,Alumni Shabbat with Mordi Spero,Event,530457,1,5,5,5
